,Academic Item,Session 1,Session 2,Co-requisite,Pre-requisite
40,ACCG6011,True,True,,Admission to MAccg or MAccLead or MBioBus or MCom or MIntBus or GradCertForAccg or GradDipForAccg or MForAccgFinCri or MProfAcc or MProfAccgLead or MBusAnalytics
41,ACCG6014,True,True,,Admission to MAccg or MAccLead or MProfAcc or MProfAccgLead
42,ACCG7025,True,True,,Admission to MRes
43,ACCG7027,True,True,,Admission to MRes
44,ACCG7028,True,True,,Admission to MRes
45,ACCG7035,False,True,,Admission to MRes
46,ACCG8022,True,True,,(10cp from ACCG or ACST or AFIN or BUS or ECON or MGMT or MKTG units at 6000 level or above) or (admission to GradCertForAccg or GradDipForAccg or MBusAnalytics or MForAccgFinCri or MCybergovMgnt)
47,ACCG8025,True,False,,ACCG613 or ACCG921 or ACCG8121 or admission to MAdvProfAcc
48,ACCG8028,True,True,,ACCG613 or ACCG921 or ACCG8121 or admission to MAdvProfAcc
49,ACCG8035,False,True,, ACCG611 or ACCG6011 or MGNT603 or ACCG6003 or ACCG8121 or ACCG8126 and admission to MCom or MAccg or MAdvProfAcc
50,ACCG8047,True,True,,ACCG611 or ACCG6011 or (admission to MAdvProfAcc or MCyberSec or GradCertForAccg or GradDipForAccg or MForAccgFinCri)
51,ACCG8048,True,True,,20cp at 6000 level or above including ACCG611 or ACCG6011 or ACCG614 or ACCG6014 or MGNT603 or ACCG6003
52,ACCG8076,True,True,,ACCG6011 or ACCG611 or (admission to MActPrac or MBkgFin or MBusAnalytics or GradCertForAccg or GradDipForAccg or MForAccgFinCri)
53,ACCG8121,True,True,,(ACCG611 or ACCG6011) and admission to MAccg or MAccLead or MAccg(Adv) or MCom or MProfAcc or MProfAccgLead
54,ACCG8123,True,True,,(ACCG611 or ACCG6011) and admission to MAccg or MAccLead or MAccg(Adv) or MCom or MProfAcc or MProfAccgLead
55,ACCG8124,True,True,,(ACCG614 or ACCG6014) and admission to MAccg or MAccLead or MAccg(Adv) or MProfAcc or MProfAccgLead
56,ACCG8125,True,True,,(ACCG611 or ACCG6011 or ACCG8121 or ACCG8126) and admission to GradDipForAccg or MAccg or MAccLead or MAccg(Adv) or MForAccgFinCri or MProfAcc or MProfAccgLead
58,ACCG8126,True,True,ACCG923 or ACCG8123,Admission to MAccg or MAccLead or MAccg(Adv) or MProfAcc or MProfAccgLead
59,ACCG8127,True,True,,(ACCG611 or ACCG6011) and admission to MAccg or MAccLead or MAccg(Adv) or MCom or MProfAcc or MProfAccgLead
61,ACCG8141,True,True,ACCG943 or ACCG8143,ACCG926 or ACCG8126
62,ACCG8142,True,True,,ACCG926 or ACCG8126
64,ACCG8143,True,True,ACCG941 or ACCG8141,ACCG926 or ACCG8126
65,ACCG8144,True,True,,ACCG926 or ACCG8126
66,ACCG8145,True,True,,ACCG925 or ACCG8125
67,ACCG8146,True,True,,ACCG926 or ACCG8126
68,ACCG8150,True,True,,40cp in ACCG or ACST or AFIN or BUS or ECON or MGMT or MKTG units at 8000 level
69,ACCG8220,True,True,,"Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049 and ACCG8221)

NB: Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ.
"
70,ACCG8221,True,True,,Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049)
71,ACCG8223,True,True,,"Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049)

NB: Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ."
72,ACCG8224,False,True,,"ACCG8220 and ACCG8221 and ACCG8223 and ACCG8225 and ACCG8226

NB: Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ."
73,ACCG8225,True,True,,"Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049)

NB: Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ."
74,ACCG8226,True,True,,"Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049 and ACCG8225)

Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ."
75,ACCG8227,False,True,,"Admission to MProfAccg and (ACCG8220 and ACCG8223).

Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ."
76,ACCG8228,True,False,,Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049)
77,ACCG8303,True,True,,(ACCG907 or ACCG8307) and (ACCG908 or ACCG8308) and (ACCG913 or ACCG8313)
78,ACCG8304,True,True,,(ACCG907 or ACCG8307) and (ACCG908 or ACCG8308) and (ACCG913 or ACCG8313)
79,ACCG8305,True,True,,(ACCG907 or ACCG8307) and (ACCG908 or ACCG8308) and (ACCG913 or ACCG8313)
80,ACCG8307,True,True,,(40cp at 6000 level and (ACCG921 or ACCG8121) and (ACCG923 or ACCG8123) and (ACCG926 or ACCG8126) and admission to MProfAcc or MProfAccgLead or MAccg(Adv)) or (admission to MAdvProfAcc and 10cp at 8000 level)
81,ACCG8308,True,True,,(40cp at 6000 level and (ACCG921 or ACCG8121) and (ACCG923 or ACCG8123) and (ACCG926 or ACCG8126) and admission to MProfAcc or MProfAccgLead) or admission to MAdvProfAcc and 10cp at 8000 level
82,ACCG8313,True,True,,(40cp at 6000 level and (ACCG921 or ACCG8121) and (ACCG923 or ACCG8123) and (ACCG926 or ACCG8126) and admission to MProfAcc or MProfAccgLead) or admission to MAdvProfAcc and 10cp at 8000 level
83,ACOM1001,True,True,,
84,ACST1001,True,True,,
86,ACST1052,True,False,STAT1371,Admission to BActStud or BActStudBSc or BAppFinBActStud or BActStudBProfPrac or BActStudProfPrac(Hons)
87,ACST2001,True,True,,50cp at 1000 level or above including [(ACST101 or ACST1001) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1371)]
88,ACST2002,True,False,,(ACST101(Cr) or ACST1001(Cr) or WACT101(Cr) or WACT1001(Cr) or ACST152 or ACST1052) and (MATH133 or MATH1025)
89,ACST2052,True,False,,ACST152 or ACST1052
90,ACST2055,False,True,,(ACST202 or ACST2002) and (STAT272 or STAT2372)
91,ACST3006,True,False,,(ACST202 or ACST2002) and (STAT272 or STAT2372)
92,ACST3007,False,True,,ACST306 or ACST3006
93,ACST3058,True,False,,(ACST255 or ACST2055) and (STAT272 or STAT2372)
94,ACST3059,False,True,,ACST358 or ACST3058
95,ACST3060,False,True,,ACST358 or ACST3058
96,ACST3061,True,False,,STAT272 or STAT2372
97,ACST4002,True,False,,ACST359 or ACST3059
98,ACST4003,False,True,,ACST402 or ACST4002
99,ACST4005,False,True,,(ACST358 or ACST3058) and (ACST359 or ACST3059) and (ACST357 or ACST3057 or ACST3060 or ACST3061) 
100,ACST4009,True,False,,ACST4008
101,ACST6003,True,True,,Admission to GradCertFin or GradDipAppFin or MAccg or MAccLead or MAppEcon or MAppFin or MAppFin(Adv) or MBkgFin or MCom or MIntBus or MProfAcc or MProfAccgLead or MBusAnalytics or MBioBus
102,ACST7031,True,False,,Admission to MRes
103,ACST7032,False,True,,Admission to MRes and (ACST731 or ACST7031)
104,ACST7095,False,True,,Admission to MRes
105,ACST8029,True,False,,ACST603 or ACST6003 or admission to MActPrac
106,ACST8031,True,False,,Permission by special approval
107,ACST8032,False,True,,ACST831 or ACST8031
108,ACST8040,True,False,,Admission to MActPrac and (STAT810 or STAT8310 or STAT806)
109,ACST8041,True,True,,Admission to MActPrac
110,ACST8042,True,True,,(ACST881 or ACST8081 or ACST8041) and (STAT810 or STAT8310 or STAT806)
111,ACST8043,False,True,,(ACST881 or ACST8081 or ACST8041) and (STAT810 or STAT8310 or STAT806)
112,ACST8044,True,False,,STAT810 or STAT8310 or STAT806
113,ACST8052,False,True,,Admission to MActPrac or (10cp in ACCG or ACST or AFIN or BUS or ECON or MKTG or MGMT units at 6000 level or above)
114,ACST8081,True,True,,Admission to MActPrac
115,ACST8082,True,True,,(ACST881 or ACST8081) and (STAT810 or STAT8310 or STAT806)
116,ACST8083,True,False,,STAT806 or STAT810 or STAT8310 
117,ACST8084,True,False,,STAT806 or STAT810 or STAT8310
118,ACST8085,False,True,,STAT806 or STAT810 or STAT8310
119,ACST8086,False,True,,STAT806 or STAT810 or STAT8310
120,ACST8087,True,False,,(STAT810 or STAT8310 or STAT806) and (ACST881 or ACST8081)
121,ACST8088,False,True,,(STAT810 or STAT8310 or STAT806) and (ACST881 or ACST8081)
122,ACST8095,False,True,,Permission by special approval
123,AFIN1002,True,True,,ACST101 or ACST1001 or ACST152 or ACST1052 or WACT101 or WACT1001
124,AFIN2000,True,False,,70cp at 1000 level or above
125,AFIN2050,True,True,,50cp at 1000 level or above including ((AFIN100 or AFIN102 or AFIN1002 or ACST152 or ACST1052) and (ACCG100 or ACCG1000 or ACCG106) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1371)) or (ACST252 or ACST2052)
126,AFIN2053,True,True,,50cp at 1000 level or above including ((ACCG100 or ACCG1000 or ACCG106) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1371) and (ACST101 or ACST1001) and (ECON111 or ECON1020))
127,AFIN2070,True,True,,50cp at 1000 level or above including (AFIN100 or AFIN102 or AFIN1002 or ACST152 or ACST1052) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1171)
128,AFIN3010,True,True,,10cp in ACST or AFIN units at 3000 level
129,AFIN3012,True,True,,ACCG350 or ACCG3050 or AFIN352 or AFIN3052 or AFIN353 or AFIN3053
130,AFIN3028,True,True,,(AFIN252 or AFIN2052 or AFIN250 or AFIN2050) and (AFIN270 or AFIN2070 or STAT272 or STAT2372)
131,AFIN3029,True,True,,20cp at 2000 level including ((AFIN252 or AFIN2050) and (AFIN270 or AFIN2070 or STAT272 or STAT2372))
132,AFIN3052,True,True,,20cp at 2000 level including (AFIN252 or ((ACST201 or ACST2001 or ACST202 or ACST2002) and AFIN250 or AFIN2050))
133,AFIN3053,True,True,,20cp at 2000 level including (AFIN250 or AFIN2050 or AFIN252 or AFIN253 or AFIN2053)
134,AFIN6013,True,True,,Admission to GradCertFin or GradDipAppFin or MAppFin or MAppFin(Adv) or MBkgFin
135,AFIN7001,True,False,,Permission by special approval
136,AFIN7002,False,True,,Permission by special approval
137,AFIN7005,True,True,,Admission to MRes
138,AFIN7008,True,True,,Admission to MRes
139,AFIN7015,True,False,,Admission to MRes
140,AFIN7039,True,False,,Admission to MRes
141,AFIN7090,True,False,,Admission to MRes
142,AFIN8001,True,False,,Permission by special approval
143,AFIN8002,False,True,,Permission by special approval
144,AFIN8003,True,True,,(Admission to MActPrac or MFin) or (ACST603 or ACST6003 or AFIN6012 or ECON649 or ECON6049)
145,AFIN8005,True,True,,Admission to MFin or ((Admission to MCom in Finance or MBkgFin) and 30cp at 6000 level or above)
146,AFIN8006,True,True,,(Admission to MActPrac or MFin) or (ACST603 or ACST6003 or AFIN858)
147,AFIN8008,True,True,,(Admission to MActPrac or MFin) or (ACST603 or ACST6003 or MGNT603 or ACCG6003) or (AFIN8009 or AFIN858 or MGNT808)
148,AFIN8010,True,False,,(Admission to MActPrac or MFin) or ACST603 or ACST6003 or AFIN6012 or AFIN613 or AFIN6013 or ECON649 or ECON6049 or ECON991 or ECON8091
149,AFIN8011,False,True,,(Admission to MActPrac or MFin) or ACST603 or ACST6003 or AFIN6012 or AFIN613 or AFIN6013 or ECON649 or ECON6049 or ECON991 or ECON8091
150,AFIN8012,False,True,,AFIN6012 or ACST603 or ACST6003 or Admission to MFin
151,AFIN8013,True,False,,AFIN6012 or ACST603 or ACST6003 or Admission to MFin
152,AFIN8014,True,True,,(AFIN6012 and (AFIN613 or AFIN6013)) or (admission to MBkgFin or MBusAnalytics or MFin or MActPrac)
153,AFIN8015,True,False,,Admission to MFin  or MActPrac (admission to (MBkgFin or MCom or MBusAnalytics) and (ACST603 or ACST6003 or AFIN6012 or AFIN613 or AFIN6013))
154,AFIN8016,True,True,,Admission to MFin or MActPrac or (MBkgFin or MBusAnalytics and (ACST603 or ACST6003 or AFIN613 or AFIN6013))
155,AFIN8017,False,True,,Admission to MFin or MActPrac or (MBkgFin or MBusAnalytics and (10cp at 6000 level))
156,AFIN8018,True,True,,Admission to MFin or ((Admission to MCom in Finance or MBkgFin) and (30cp at 6000 level or above))
157,AFIN8037,False,True,,(Admission to MAppFin or MAppFin(Adv) or MFin or MActPrac) or (ACST603 or ACST6003 or AFIN858)
158,AFIN8038,True,True,,(Admission to MActPrac or MFin) or (ACCG611 or ACCG6011 or AFIN613 or AFIN6013 or AFIN6012 or ACST603 or ACST6003 or AFIN858)
159,AFIN8039,True,False,,(ACST603 or ACST6003 or AFIN6012 or AFIN858) or (10cp in ACCG or ACST or AFIN or BUS or ECON or MKTG or MGMT units at 6000 level)
160,AFIN8067,True,True,,(Admission to MActPrac or MFin) or (ACST603 or ACST6003 or AFIN6012 or AFIN613 or AFIN6013 or AFIN858 or MGNT603 or ACCG6003 or MGNT808)
161,AFIN8081,True,True,,Admission to MFin or (admission to MBkgFin and (30cp at 6000 level) or (10cp at 8000 level))
162,AFIN8090,True,False,,(Admission to MFin or MActPrac) or ACST603 or ACST6003 or AFIN613 or AFIN6013 
163,AFIN8099,True,True,,(Admission to MFin and 40cp at 8000 level) or (admission to (MBkgFin or MCom) and 60cp at 8000 level)
164,AHIS1110,True,False,,
165,AHIS1120,True,False,,
166,AHIS1140,False,True,,
167,AHIS1150,True,False,,
168,AHIS1160,False,True,,
169,AHIS1200,False,True,,
170,AHIS1210,True,False,,
171,AHIS1250,True,False,,
172,AHIS1300,True,False,,
173,AHIS1301,False,True,,
174,AHIS2110,False,True,,AHIS108 or AHIS1110 or AHIS208 or AHST205
175,AHIS2120,False,True,,AHIS118 or AHIS218 or AHST207 or AHIS1120
176,AHIS2130,False,True,,40cp at 1000 level or above
177,AHIS2140,True,False,,AHIS158 or AHIS1140 or AHIS258
178,AHIS2150,False,True,,AHIS178 or AHIS1150 or AHIS278 or AHST260
179,AHIS2160,True,False,,AHIS168 or AHIS1160 or AHIS268
180,AHIS2210,True,False,,40cp at 1000 level or above
181,AHIS2211,False,True,,40cp at 1000 level or above
182,AHIS2225,True,False,,40cp at 1000 level or above
183,AHIS2250,False,True,,40cp at 1000 level or above
184,AHIS2251,True,False,,40cp from 1000 level units or above
185,AHIS2301,False,True,,40cp at 1000 level or above
186,AHIS2302,True,False,,40cp at 1000 level or above
187,AHIS3000,False,True,,"
Admission to BAncHist or BArch or BArts and 130cp at 1000 level or above or (40cp from AHIS2130 or AHIS2210 or AHIS2211 or AHIS2225 or AHIS2250 or AHIS2251 or AHIS2301 or AHIS2302)




"
188,AHIS3001,False,True,,130cp at 1000 level or above or (20cp in AHIS or AHST units at 2000 level)
189,AHIS3005,True,True,,130cp at 1000 level or above and permission by special approval
190,AHIS3100,False,True,,Permission by special approval
191,AHIS3101,False,True,,Permission by special approval
192,AHIS3102,False,True,,AHIS2150
193,AHIS3110,True,False,,20cp at 2000 level including (AHIS209 or AHIS2110 or AHST206)
194,AHIS3120,True,False,,20cp at 2000 level including (AHIS219 or AHIS2120 or AHST208)
195,AHIS3150,True,False,,(20cp at 2000 level including AHIS279 or AHIS2150) or AHIS378
196,AHIS3201,True,False,,130cp at 1000 level and above or 20cp in AHIS or AHST units at 2000 level or above
197,AHIS3202,False,True,,130cp at 1000 level or above or (20cp in AHIS or AHST units at 2000 level)
198,AHIS3241,True,False,,130cp at 1000 level or above or (20cp in AHIS or AHST units at 2000 level)
199,AHIS3251,False,True,,130cp at 1000 level or above or (20cp in AHIS or AHST units at 2000 level)
200,AHIS3302,True,False,,130cp at 1000 level or above or (20cp in AHIS or AHST units at 2000 level)
201,AHIS3306,False,True,,130cp at 1000 level or above or (20cp in AHIS or AHST units at 2000 level)
202,AHIS6100,True,True,,Admission to MRes or GradCertAncHist or MAncHIst
203,AHIS6200,True,True,,Admission to GradCertAncHist or MAncHIst
204,AHIS6201,True,True,,Admission to GradCertAncHist or MAncHIst
205,AHIS6202,True,True,,Admission to GradCertAncHist or MAncHIst
206,AHIS7000,True,False,,Admission to MRes
207,AHIS7001,False,True,,Admission to MRes
208,AHIS8000,True,True,,Permission by special approval
209,AHIS8210,False,True,,Admission to MAncHist 
210,AHIS8211,False,True,,Admission to MAncHist or GradCertAncHist or MA in (Ancient History or Coptic Studies)
211,AHIS8213,True,False,,Admission to MAncHist or GradCertAncHist or MA in (Ancient History or Coptic Studies)
212,AHIS8221,True,False,,Admission to MAncHist or GradCertAncHist or MA in (Ancient History or Coptic Studies)
213,AHIS8230,True,False,,Admission to MAncHist or GradCertAncHist or MA in (Ancient History or Coptic Studies)
214,AHIS8252,True,False,,Admission to MAncHist or GradCertAncHist
215,AHIS8320,False,True,,Admission to MAncHist or GradCertAncHist or MA in (Ancient History or Coptic Studies)
216,AHIS8990,True,True,,Admission to MRes
217,AHIX1110,True,False,,
218,AHIX1120,True,False,,
219,AHIX1200,False,True,,
220,AHIX1210,True,False,,
221,AHIX1250,True,False,,
222,AHIX2130,False,True,,AHIX1210
223,AHIX2210,True,False,,AHIX1210
224,AHIX2211,False,True,,AHIX1210
225,AHIX2225,True,False,,AHIX1210
226,AHIX2250,False,True,,40cp at 1000 level or above
227,AHIX2251,True,False,,AHIX1250
228,AHIX3000,False,True,,
229,AHIX3001,False,True,,AHIX1250 and AHIX2251
230,AHIX3201,True,False,,AHIX2225 and AHIX2130
231,AHIX3202,False,True,,AHIX2225 and AHIX2250
232,AHIX3241,True,False,,AHIX1250 and AHIX2251
233,AHIX3251,False,True,,AHIX1250 and AHIX2250
234,AHIX6100,True,True,,Admission to GradCertAncHist (OUA)
235,AHIX6200,True,True,,Admission to GradCertAncHist (OUA)
236,AHIX6201,True,True,,Admission in GradCertAncHist (OUA)
237,AHIX6202,True,True,,Admission to GradCertAncHist (OUA)
238,AHIX8000,True,True,,Admission to MAncHist(OUA)
239,AHIX8210,False,True,,
240,AHIX8211,False,True,,
241,AHIX8213,True,False,,
242,AHIX8221,True,False,,Admission to MAncHist (OUA) or GradCertAncHist (OUA)
243,AHIX8230,True,False,,Admission to MAncHist (OUA) or GradCertAncHist (OUA)
244,AHIX8252,True,False,,Admission to MAncHist (OUA) or GradCertAncHist (OUA)
245,AHIX8320,False,True,,Admission to GradCertAncHist (OUA)
246,AIHI8990,True,True,,
247,ANAT1001,True,True,,
248,ANAT1002,True,True,,HLTH108 or ANAT1001
249,ANAT2003,True,False,,HLTH108 or ANAT1001
250,ANAT2004,False,True,,HLTH108 or ANAT1001 or COGS1000
251,ANAT7911,False,True,,Admission to MRes
252,ANTH1050,False,True,,
253,ANTH1051,True,False,,
254,ANTH2002,False,True,,(ANTH150 or ANTH1050) or 40cp at 1000 level or above
255,ANTH2003,True,False,,(ANTH150 or ANTH1050) or (40cp at 1000 level or above
256,ANTH2008,False,True,,(ANTH150 or ANTH1050) or 40cp at 1000 level or above
257,ANTH2024,True,False,,(ANTH150 or ANTH1050) or 40cp at 1000 level or above
258,ANTH3002,False,True,,130cp at 1000 level or above
259,ANTH3008,True,False,,130cp at 1000 level or above
260,ANTH3021,True,False,,130cp at 1000 level or above
261,ANTH3022,False,True,,130cp at 1000 level or above
262,ANTH3023,True,False,,130cp at 1000 level or above
263,ANTH3024,True,True,,130cp at 1000 level or above including (30cp from ANTH units including (10cp from ANTH units at 3000 level))
264,ANTH7000,True,False,,Admission to MRes
265,ANTH7001,False,True,,Admission to MRes
266,ANTH8032,False,True,,Admission to MDevStud or MPH or 30cp at 8000 level or above or (ANTH816 or ANTH8016)
267,ANTH8990,True,True,,Admission to MRes
268,ANTX1051,True,False,,
269,ANTX2002,False,True,,
270,ANTX3008,True,False,,
271,APFN8990,True,True,,
272,APPL6000,True,True,,Admission to GradCertTESOL or MAppLingTESOL or MTransInterMAppLingTESOL
273,APPL6010,True,True,,Admission to GradCertTESOL or MAppLingTESOL or MTransInterMAppLingTESOL
274,APPL7020,True,True,,Admission to MRes
275,APPL7100,False,True,,Admission to MRes
276,APPL7110,True,False,,Admission to MRes
277,APPL7250,True,False,,Admission to MRes
278,APPL7400,True,False,,Admission to MRes
279,APPL7420,False,True,,Admission to MRes
280,APPL8001,True,True,,Admission to GradCertTESOL or MAppLingTESOL or MTransInterMAppLingTESOL or MAppLing
281,APPL8010,False,True,,Admission toMAppLingTESOL or MTransInterMAppLingTESOL
282,APPL8015,True,False,,Admission to MAppLingTESOL or MTransInterMAppLingTESOL or MAppLing
283,APPL8020,True,True,,Admission to MAppLing or MAppLingTESOL or MTransInterStud or MConfInt or MTransInterStud(Adv) or MTransInterStudMAppLingTESOL and 40 credit points at 8000 level
284,APPL8030,False,True,,Admission to MAppLing or MAppLingTESOL or MAuslEngInt or PGDipAuslEngInt or MTransInter or MTransInterMIntRel or MTransInterMAppLingTESOL or MIntPubDip or MDevStud or MAccComm or MEd or MAdvTransInterStud
285,APPL8110,True,False,,Admission to MAppLing or MAppLingTESOL or MTransInter or MAdvTransInterStud or MTransInterMAppLingTESOL or MIntPubDip 
286,APPL8200,True,True,,Admission to GradCertTESOL or MAppLingTESOL or MTransInterMAppLingTESOL or MAppLing
288,APPL8220,True,True,(APPL8200 or APPL920) and (APPL8001 or APPL6000 or APPL600) and (APPL8250 or APPL6010 or APPL601),Admission to GradCertTESOL or MAppLingTESOL or MTransInterMAppLingTESOL
289,APPL8230,True,False,,Admission to MAppLing or MAppLingTESOL or MTransInterMAppLingTESOL
290,APPL8240,False,True,,Admission to MAppLing or MAppLingTESOL or MTransInter or MTransInterMAppLingTESOL or MEd and 40cp at 8000 level or above
291,APPL8250,True,True,,Admission to GradCert TESOL or MAppLingTESOL or MTransInterMAppLingTESOL or MEd
292,APPL8260,False,True,,Admission to MAppLingTESOL or MAppLing or MTransInterMAppLingTESOL
294,APPL8290,True,True,,(APPL600 or APPL6000) and (APPL601 or APPL6010) or APPL 8001 and permission by special approval
293,APPL8290,True,True,APPL8200,
295,APPL8291,True,True,,Admission to MAppLingTESOL and 40cp at 8000 level
296,APPL8400,True,False,,Admission to MAppLing or MAppLingTESOL or MTransInterMAppLingTESOL or MAccComm or MEd
297,APPL8410,False,True,,Admission to MAppLing or MAppLingTESOL or MTransInterMAppLingTESOL or MAccComm
298,APPL8420,False,True,,Admission to MAppLing or MAppLingTESOL or MTransInterMAppLingTESOL
299,ARTS1000,True,True,,Admission to BArts (Single or double degrees)
300,ARTS2000,True,True,,80cp and permission by special approval
301,ARTS3000,True,True,,"50cp at 2000 level or above and permission by special approval 
"
302,ARTS3500,True,True,,170cp at 1000 level or above and (admission to BArts or BABEd(Prim) or BABEd(Sec))
303,ARTX1000,True,True,,
304,ARTX3500,True,True,,170cp at 1000 level or above
305,ASBA8990,True,True,,
306,ASTR2020,False,True,,PHYS201 or PHYS2010
307,ASTR3010,True,False,,(ASTR278 or ASTR2020) and (PHYS202 or PHYS2020) and (MATH236 or MATH232 or MATH2020 or MATH2110)
308,ASTR3020,False,True,,ASTR3010 or ASTR377
309,ASTR3110,True,False,,PHYS202 or PHYS2020
310,ASTR7907,False,True,,Admission to MRes
311,ASTR7913,False,True,,Admission to MRes
312,BIOL1110,False,True,,
313,BIOL1210,True,False,,
314,BIOL1310,True,False,,
315,BIOL1320,False,True,,
316,BIOL1620,True,False,,
318,BIOL2110,True,False,(STAT1170 or STAT170) or (STAT1371 or STAT171) or FOSE1015,(BIOL1110 or BIOL115) and ((BIOL1310 or BIOL114) or (BIOL1210 or BIOL108) or (BIOL1610 or BIOL116) or (BIOL1620))
319,BIOL2210,False,True,,(40cp at 1000 level or above) including (BIOL1310 or BIOL114) or (BIOL1110 or BIOL115)
320,BIOL2220,False,True,,30cp from ANAT1001 or ANAT1002 or BIOL1110 or BIOL1210 or BIOL1320 or BIOL2230 or CHEM1001
321,BIOL2230,True,False,,50cp at 1000 level or above including [(BIOL2220 or BIOL247) or (20cp from (BIOL1110 or BIOL115) or (BIOL1210 or BIOL108) or (ANAT1001 or HLTH108) or (ANAT1002 or HLTH109) or (PSYU1104 or PSYC104  or PSYU1101) or (PSYU1105 or PSYC105 or PSYU1102) or (COGS1000 or COGS100))]
