Academic Item,Title,Version Number,Type,Status,Academic Org,Owning Faculty,Type,Description
ABSX2020,Indigenous Pop Culture,2023.02,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,40cp at 1000 level or above including ABSX1000
ABSX2035,Indigenous Queer Studies,2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,40cp at 1000 level or above and (ABST1000 or GEND1000)
ABSX2060,Indigenous Histories and Knowledges,2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,40cp at 1000 level or above including ABSX1000
ABSX3025,Indigenous Research Methodologies,2023.03,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,130cp at 1000 level or above including ABSX1000 or ABSX1020 and 20cp at 2000 level including ABSX2035 or ABSX2020 or ABSX2060
ABSX3035,Indigenous Queer Theory and Practice,2023.02,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,130cp at 1000 level or above including ABSX1000 or ABSX1020 and 20cp at 2000 level including ABSX2035 or ABSX2020 or ABSX2060
ABSX3040,"Settler Colonialism, Decolonisation and Indigenous Futures ",2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,130cp at 1000 level or above including ABSX1000 or ABSX1020 and 20cp at 2000 level including ABSX2035 or ABSX2020 or ABSX2060
ACCG1000,Accounting in Society,2023.06,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG100, ACCG106, ARTS105, MMCS105, WACC100, WACC106"
ACCG1001,Accounting and Governance,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG101
ACCG1001,Accounting and Governance,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG100 or ACCG106 or ACCG1000
ACCG1020,Global Legal Frameworks for a Sustainable Planet,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),BUSL100
ACCG2000,Management Accounting,2023.06,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above including ACCG100 or ACCG1000 or ACCG106
ACCG2000,Management Accounting,2023.06,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG200
ACCG2002,Finance and Regulation for New Ventures,2023.02,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above including BBA102 or MGMT1002
ACCG2002,Finance and Regulation for New Ventures,2023.02,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),FOBE202
ACCG2004,Business Ethics and Risk Management,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above
ACCG2004,Business Ethics and Risk Management,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),BUSL204
ACCG2024,Financial Accounting and Reporting,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG101 or ACCG1001
ACCG2024,Financial Accounting and Reporting,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG224
ACCG2050,Accounting Information Systems,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG251, ACCG250"
ACCG2050,Accounting Information Systems,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above including ACCG100 or ACCG1000 or ACCG106
ACCG2051,Business and Corporations Law,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above
ACCG2051,Business and Corporations Law,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"BUSL301, BUSL251"
ACCG2060,Sustainability Strategy and Reporting,2023.02R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above
ACCG2060,Sustainability Strategy and Reporting,2023.02R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG260
ACCG2065,Blockchain for Business,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above
ACCG2067,Foundations of Forensic and Data Analytics,2023.02,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,50cp at 1000 level or above
ACCG3001,Organisational Planning and Control,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG200 or ACCG2000) or 130cp at 1000 level or above
ACCG3001,Organisational Planning and Control,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG301
ACCG3005,Global Trade Law,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above
ACCG3005,Global Trade Law,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),BUSL305
ACCG3008,Corporate Accounting and Business Advisory,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG308
ACCG3008,Corporate Accounting and Business Advisory,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG224 or ACCG2024) or 130cp at 1000 level or above
ACCG3015,PACE: Accountants in the Profession,2023.04,PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG315
ACCG3015,PACE: Accountants in the Profession,2023.04,PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,160cp including ACCG200 or ACCG2000 or ACCG224 or ACCG2024 or ACCG250 or ACCG2050 or ACCG2065
ACCG3020,Taxation Law and Practice,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"LAW503, LAW553, LAWS553, BUSL320"
ACCG3020,Taxation Law and Practice,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(20cp at 2000 level or above including (BUSL250 or BUSL251 or ACCG2051)) or 40cp in LAW units at 2000 level
ACCG3025,Cyber Security and Privacy,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),BUSL315
ACCG3025,Cyber Security and Privacy,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above
ACCG3030,Strategic Management Accounting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG330
ACCG3030,Strategic Management Accounting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG200 or ACCG2000) and (ACCG301 or ACCG3001)
ACCG3040,Auditing and Assurance Services,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above including (ACCG308 or ACCG3008) and (ACCG250 or ACCG2050)
ACCG3040,Auditing and Assurance Services,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG340
ACCG3050,Financial Statement Analysis,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above including AFIN250 or AFIN2050 or AFIN252 or AFIN253 or AFIN2053
ACCG3050,Financial Statement Analysis,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG350
ACCG3055,Information Systems for Management,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG355
ACCG3055,Information Systems for Management,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG250 or ACCG2050 or (130cp at 1000 level or above including BUSA2020)
ACCG3058,Information Systems Audit and Assurance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG358
ACCG3058,Information Systems Audit and Assurance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG250 or ACCG2050
ACCG3060,Cyber Security Governance and Ethics,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG250 or ACCG2050 or PICT201 or PICT2001 or (130cp at 1000 level or above including BUSA2020)
ACCG6003,Managing Finance,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MMgmt or MEngMgt
ACCG6003,Managing Finance,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),MGNT603
ACCG6011,Principles of Accounting,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MAccg or MAccLead or MBioBus or MCom or MIntBus or GradCertForAccg or GradDipForAccg or MForAccgFinCri or MProfAcc or MProfAccgLead or MBusAnalytics
ACCG6011,Principles of Accounting,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG611
ACCG6014,Business and Company Law,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG854, ACCG614"
ACCG6014,Business and Company Law,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MAccg or MAccLead or MProfAcc or MProfAccgLead
ACCG7025,Auditing and Assurance Services,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MRes
ACCG7025,Auditing and Assurance Services,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG925, ACCG725"
ACCG7027,Current Issues in Accounting and Corporate Governance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MRes
ACCG7027,Current Issues in Accounting and Corporate Governance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG927, ACCG859, ACCG727"
ACCG7028,Management Control Systems,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MRes
ACCG7028,Management Control Systems,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG828, ACCG728"
ACCG7035,International Accounting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MRes
ACCG7035,International Accounting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG835, ACCG735"
ACCG7051,Legal Governance for Business Enterprises,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MRes
ACCG7051,Legal Governance for Business Enterprises,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG951, BUSL832, BUSL834, ACCG751"
ACCG8004,Advanced Quantitative Research Approaches in Business and Economics,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG730, ACCG804"
ACCG8004,Advanced Quantitative Research Approaches in Business and Economics,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Permission by special approval
ACCG8022,Information Systems in Business,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(10cp from ACCG or ACST or AFIN or BUS or ECON or MGMT or MKTG units at 6000 level or above) or (admission to GradCertForAccg or GradDipForAccg or MBusAnalytics or MForAccgFinCri or MCybergovMgnt)
ACCG8022,Information Systems in Business,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG822
ACCG8025,Management Accounting: Strategy and Control,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG825
ACCG8025,Management Accounting: Strategy and Control,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG613 or ACCG921 or ACCG8121 or admission to MAdvProfAcc
ACCG8028,Management Control Systems,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG613 or ACCG921 or ACCG8121 or admission to MAdvProfAcc
ACCG8028,Management Control Systems,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG828
ACCG8035,International Accounting,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG835, ACCG735"
ACCG8035,International Accounting,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite, ACCG611 or ACCG6011 or MGNT603 or ACCG6003 or ACCG8121 or ACCG8126 and admission to MCom or MAccg or MAdvProfAcc
ACCG8047,Fundamentals of Forensic Accounting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG611 or ACCG6011 or (admission to MAdvProfAcc or MCyberSec or GradCertForAccg or GradDipForAccg or MForAccgFinCri)
ACCG8047,Fundamentals of Forensic Accounting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG847
ACCG8048,Business and Professional Ethics,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,20cp at 6000 level or above including ACCG611 or ACCG6011 or ACCG614 or ACCG6014 or MGNT603 or ACCG6003
ACCG8048,Business and Professional Ethics,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG848
ACCG8070,Chinese Trade and Investment Law,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG611 or ACCG6011 or admission to MAdvProfAcc
ACCG8070,Chinese Trade and Investment Law,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"BUSL854, ACCG970"
ACCG8076,Forensic and Data Analytics,2023.02,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG6011 or ACCG611 or (admission to MActPrac or MBkgFin or MBusAnalytics or GradCertForAccg or GradDipForAccg or MForAccgFinCri)
ACCG8077,Forensic Accountants and the Courts,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG877
ACCG8077,Forensic Accountants and the Courts,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,20cp at 6000 level or above including ACCG611 or ACCG6011 
ACCG8078,Investigation Engagements,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG878
ACCG8078,Investigation Engagements,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(20cp at 6000 level or above including ACCG611 or ACCG6011) or (admission to GradDipForAccg or MForAccgFinCri or MCybergovMgnt or MCTerrorism or MCrim or MCyberSecAnalysis or MIntell or MSecStrategicStud)
ACCG8079,Information Systems for Competitive Advantage,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG611 or ACCG6011 or admission to MActPrac or MBkgFin or MCyberSec or MCybergovMgnt or MInfoSysMgmt or MInfoTech
ACCG8079,Information Systems for Competitive Advantage,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG853, ACCG922"
ACCG8086,"Cyber Security, Governance Frameworks and Ethics",2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MCybergovMgnt or MForAccgFinCri or MCTerrorism or MCrim or MCyberSecAnalysis or MIntell or MSecStrategicStud or MInfoTechCyberSec or MInfoTechNetworking
ACCG8086,"Cyber Security, Governance Frameworks and Ethics",2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG886
ACCG8087,Advanced Information System Audit and Assurance,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG887
ACCG8087,Advanced Information System Audit and Assurance,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MCybergovMgmt
ACCG8089,Loss and Damage and other Dispute Engagements,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG889
ACCG8089,Loss and Damage and other Dispute Engagements,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG611 or ACCG6011 or (admission to GradDipForAccg or MForAccgFinCri)
ACCG8092,Blockchain for Competitive Advantage,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(10cp in ACCG or ACST or AFIN or BUS or MGMT or ECON or MKTG units at 6000 level) or (admission to MCybergovMgnt or MInfoTechCyberSec or MInfoTechNetworking)
ACCG8092,Blockchain for Competitive Advantage,2023.01,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG892
ACCG8097,Law for Managers,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MMgmt and 40cp at 8000 level or above
ACCG8097,Law for Managers,2023.01R,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"MGSM987, MGNT887"
ACCG8121,Managerial Accounting,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG852, ACCG921"
ACCG8121,Managerial Accounting,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG611 or ACCG6011) and admission to MAccg or MAccLead or MAccg(Adv) or MCom or MProfAcc or MProfAccgLead
ACCG8123,Accounting Standards and Practice,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG611 or ACCG6011) and admission to MAccg or MAccLead or MAccg(Adv) or MCom or MProfAcc or MProfAccgLead
ACCG8123,Accounting Standards and Practice,2023.05,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG862, ACCG923"
ACCG8124,Taxation Law,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG857, ACCG924"
ACCG8124,Taxation Law,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG614 or ACCG6014) and admission to MAccg or MAccLead or MAccg(Adv) or MProfAcc or MProfAccgLead
ACCG8125,Auditing and Assurance Services,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG611 or ACCG6011 or ACCG8121 or ACCG8126) and admission to GradDipForAccg or MAccg or MAccLead or MAccg(Adv) or MForAccgFinCri or MProfAcc or MProfAccgLead
ACCG8125,Auditing and Assurance Services,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG811, ACCG856, ACCG925"
ACCG8126,Corporate Accounting,2023.06,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MAccg or MAccLead or MAccg(Adv) or MProfAcc or MProfAccgLead
ACCG8126,Corporate Accounting,2023.06,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG855, ACCG926"
ACCG8126,Corporate Accounting,2023.06,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Co-requisite,ACCG923 or ACCG8123
ACCG8127,Current Issues in Accounting and Corporate Governance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),"ACCG859, ACCG927, ACCG727"
ACCG8127,Current Issues in Accounting and Corporate Governance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,(ACCG611 or ACCG6011) and admission to MAccg or MAccLead or MAccg(Adv) or MCom or MProfAcc or MProfAccgLead
ACCG8141,Strategic Business Leader I,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG926 or ACCG8126
ACCG8141,Strategic Business Leader I,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG941
ACCG8141,Strategic Business Leader I,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Co-requisite,ACCG943 or ACCG8143
ACCG8142,Strategic Business Reporting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG926 or ACCG8126
ACCG8142,Strategic Business Reporting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG942
ACCG8143,Strategic Business Leader II,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Co-requisite,ACCG941 or ACCG8141
ACCG8143,Strategic Business Leader II,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG926 or ACCG8126
ACCG8143,Strategic Business Leader II,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG943
ACCG8144,Advanced Financial Management,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG944
ACCG8144,Advanced Financial Management,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG926 or ACCG8126
ACCG8145,Advanced Audit and Assurance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG925 or ACCG8125
ACCG8145,Advanced Audit and Assurance,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG945
ACCG8146,Advanced Performance Management,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,ACCG926 or ACCG8126
ACCG8146,Advanced Performance Management,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG946
ACCG8150,Contemporary Accounting Practice,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),ACCG950
ACCG8150,Contemporary Accounting Practice,2023.04,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,40cp in ACCG or ACST or AFIN or BUS or ECON or MGMT or MKTG units at 8000 level
ACCG8220,CA - Audit and Risk,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,"Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049 and ACCG8221)

NB: Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ.
"
ACCG8221,CA - Financial Accounting and Reporting,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049)
ACCG8223,CA - Tax,2023.03,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,Pre-requisite,"Admission to MProfAccg and (ACCG6011 and ACCG6014 and ACST6003 and ECON6049)

NB: Students must successfully complete CA - Ethics and Business module prior to enrolling in this unit. Students should directly enroll in the Ethic and Business module directly with CA ANZ."
